"id","feature","expected_behavior","local_implementation","server_implementation","production_check","roles","data_entities","status","defect_id","evidence_ids","recommendation"
"F-011","Project lifecycle (CRUD/publish/archive/export)","Draft to published registry flow with ownership checks","app/api/v1/projects.py (POST/GET/PUT publish/DELETE/archive/export); Project/AuditTrailEntry models","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed","owner roles; cntr_manager/admin","projects; project_members; audit_trail","EXPECTED","","EV-001;EV-002","Needs authenticated test-account flow; not attempted (out of scope)"
"F-012","Stage requirements and evaluation","Stage gates with requirements, documents and evaluation","app/api/v1/stages.py; StageRequirement/ProjectDocument/ControlPoint models","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed","project members; experts; manager","stage_requirements; project_documents; control_points","EXPECTED","","EV-001;EV-002","Same test-account dependency as F-011"
"F-013","Promotion requests and conclusions","Draft/promotion queues with decisions, reverts, conclusion PDF","app/api/v1/manager.py; app/api/v1/requests.py; PromotionRequest/RequestComment models","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed","requester; cntr_manager","promotion_requests; request_comments; promotion_request_documents","EXPECTED","","EV-001;EV-002","Candidate for findings only after runtime evidence exists"
"F-014","Manager queues and history","Draft/promotion queues with history per project","app/api/v1/manager.py :: queue/drafts and queue/promotions and queue/history","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed","cntr_manager; cntr_admin","promotion_requests; projects","EXPECTED","","EV-001;EV-002","No deployed claim; static routes inventoried only"
"F-015","Invites and membership","Invite/accept/revoke, admin transfer, legal update","app/api/v1/invites.py; app/api/v1/membership.py; ProjectInvite/ProjectMember models","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated and invite-token-gated, unprobed","project admin; invited user","project_invites; project_members","EXPECTED","","EV-001;EV-002","Join-token flow needs dedicated safe scenario, not run here"
"F-016","Profiles and organizations","User/org profiles with submit/decide moderation","app/api/v1/profiles.py (/profile /orgs /manager/profiles /manager/orgs); UserProfile/UserOrganization/OrganizationMember models","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed","all auth roles; manager decides","user_profiles; user_organizations; organizations; organization_members","EXPECTED","","EV-001;EV-002","Moderation runtime stays UNKNOWN (R36)"
"F-017","User and role administration","Admin user list, role assignment guard, password reset","app/api/v1/users.py; app/api/v1/admin.py (/audit /achievements/stats); User/Role models","Lineage f06b15c; per-file not diffed","UNKNOWN: privileged runtime, unprobed","cntr_admin (privileged)","users; roles; permissions","EXPECTED","","EV-001;EV-002","Least-privilege review belongs to security report (static code cited)"
"F-018","UGT assessment flow","Questionnaire, templates, checkpoints and answers; prepared for launch per MVP boundary","app/api/v1/assessments.py (template/submit/mine); AssessmentTemplate/Checkpoint/ProjectAssessment/Answer models; src/app/assessment/new","Lineage f06b15c; per-file not diffed","UNKNOWN: auth-gated, unprobed; boundary status is preparing, not regression","assessed roles; ugt_expert","assessment_templates; assessment_checkpoints; project_assessments; assessment_answers; questionnaire_results","EXPECTED","","EV-001;EV-002","Absence of launch is not a regression (MVP boundary); do not file as defect"
"F-019","Achievements","Catalog, personal and project achievements (66-entry catalog, slug=icon_key)","app/api/v1/achievements.py (/catalog /mine); Achievement/UserAchievement/ProjectAchievement; app/db/seed_achievements.py","Lineage f06b15c; per-file not diffed","UNKNOWN: unprobed","all auth roles","achievements; user_achievements; project_achievements","EXPECTED","","EV-001;EV-002","Seed content is static fact; awarding runtime unproven"
"F-020","Notifications list and read","Notification list plus mark-read; outbox pattern","app/api/v1/notifications.py; Notification/NotificationOutbox models","Lineage f06b15c; per-file not diffed","UNKNOWN for delivery; weak signal only: /notifications template in /metrics (EV-004)","auth users","notifications; notification_outbox","EXPECTED","","EV-001;EV-002;EV-004","Delivery liveness needs SSE/log evidence (operations scope)"
"F-021","Realtime SSE stream","One-shot ticket (TTL 30s) plus GET stream; token-in-query rejected; Redis pubsub with in-memory fallback","app/api/v1/realtime.py (POST /notifications/sse-ticket; GET /notifications/stream; POST /notifications/emit); nginx separate SSE log without query","Lineage f06b15c; per-file not diffed","UNKNOWN: ticket flow needs auth, unprobed","auth users","none (ephemeral tickets)","EXPECTED","","EV-001;EV-002","SSE ticket test needs authenticated session; not attempted here"
"F-022","File handling (MinIO + ClamAV)","Signature MIME check, 25MB cap, UUID names, closed bucket, INSTREAM fail-closed rescan","app/api/v1/files.py; app/services/file_storage.py","Lineage f06b15c; per-file not diffed","UNKNOWN for upload flow; dependencies only: EV-004 ready reports storage ok and clamav ok","auth uploaders","project_documents; verification_documents","EXPECTED","","EV-001;EV-002;EV-004","Upload path traversal and AV verdict belong to security report (static)"
"F-023","AI assistant chat","Chat endpoints with guardrails (wrap_untrusted), timeouts and queue caps","app/api/v1/chat.py (POST '' /tuno /kaba; GET /metrics/ai); app/services/ai_assistant.py; app/core/embeddings.py semantic-ru-v2","Lineage f06b15c; per-file not diffed","UNKNOWN: no AI calls executed (cap/denylist rules; Decision 5)","auth roles","rag_documents (retrieval)","EXPECTED","","EV-001;EV-002","Eval limited to inventory here; any eval needs safe-entrypoint approval (AI report)"
"F-024","LLM matching","POST /match ranking through center with parse_llm_ranking","app/api/v1/match.py; app/services/matching.py; src/features/matching/*","Lineage f06b15c; per-file not diffed","UNKNOWN: no calls executed","auth roles","projects; organizations","EXPECTED","","EV-001;EV-002","Matching quality is AI-report scope, not claimed here"
"F-025","RAG search and templates","Template registry plus semantic search over indexed documents","app/api/v1/rag.py (/templates /search); RagDocument model; scripts/reindex_rag_embeddings.py","Lineage f06b15c; per-file not diffed","UNKNOWN: no calls executed; reindex script not run (read-only rule)","auth roles","rag_documents","EXPECTED","","EV-001;EV-002","Index freshness/staleness belongs to AI report"
"F-026","Document generation","Per-project document generation by doc type","app/api/v1/generation.py :: POST /{project_id}/generate/{doc_type}; src/features/docs/* and project/GenerationPanel","Lineage f06b15c; per-file not diffed","UNKNOWN: no calls executed","project members","project_documents","EXPECTED","","EV-001;EV-002","Output validation and hallucination review are AI-report scope"
"F-027","Role dashboards (9 segments)","Per-role dashboard shells including auditor/cntr_admin/cntr_manager/gk_customer/investor/rd_executor/regulating_organization/scientific_org/serial_manufacturer","src/app/dashboard/*/page.tsx; RoleDashboardShell; middleware role gate (fail-closed)","Lineage f06b15c; per-file not diffed","UNKNOWN: role runtime needs test accounts (R36)","nine role slugs","users; roles","EXPECTED","","EV-001;EV-002","Known divergence: frontend keeps regulating_organization segment while migration 0010 renames that slug to ugt_expert; candidate for findings registry, needs runtime confirmation"
"F-028","P2-gated client stubs","Authenticated getPublicRegistry and matching throw 403 p2GatedMessage instead of fetching","src/lib/api-client.ts; src/lib/release.ts","Lineage f06b15c; per-file not diffed","UNKNOWN: client-side stub, no server behavior implied","n/a (client)","none","STUB","","EV-001;EV-002","Stubs are declared, not defects; keep out of regression list"
"F-029","Roadmap/patenting/acceleration placeholders","Future tracks shown as roadmap content while patenting and acceleration stay in development","src/app/(landing)/roadmap/*; roadmap-content.tsx placeholders","Lineage f06b15c; per-file not diffed","UNKNOWN: content state not asserted against production body","public","none","STUB","","EV-001;EV-002;EV-004","Per MVP boundary these are in-development; premature publication would be a finding, absence is not"
"F-030","LLM gateway switch","Gateway disabled unless LLM_GATEWAY_ENABLED=true is set explicitly","app/core/config.py gate; app/services/ai_assistant.py startup status log","Lineage f06b15c; config values never read (interfaces ban)","UNKNOWN: resolved value never read; dependency presence only via key names (EV-007)","n/a (platform)","none","DISABLED","","EV-001;EV-002;EV-007","Default-off is the safe posture; internal AI contours stay in-development per MVP boundary"
"F-031","i18n and offline queue","ru/en/zh locales; offline action queue injects token at send time, never stores it","src/i18n/*; messages/*; src/features/offline/queue.ts (sanitizeOfflineHeaders/syncOfflineQueue); tests/offline.test.mjs","Lineage f06b15c; per-file not diffed","UNKNOWN: client behavior, no production assertion","all","none","EXPECTED","","EV-001;EV-002","Locale/offline checks run in frontend suite (UX scope)"
"F-032","Product webhooks (expected absence)","No product webhooks required; notifications travel via SSE and outbox","Static search: zero webhook matches in app/ and src/; realtime.py documents SSE contract","Lineage f06b15c; per-file not diffed","UNKNOWN: absence cannot be probed over HTTP; no contrary signal in EV-003/EV-004","n/a","notifications; notification_outbox","EXPECTED","","EV-001;EV-003;EV-004","If a webhook is later required, add it as a new feature row instead of editing this one"
"F-033","Saved-filters backend (deferred integration)","Frontend falls back to localStorage when backend endpoint is missing; backend endpoint is future work","Frontend: src/features/registry/saved-filters/* with BLOCKED.md, BLOCKED_REASON, localStorage key tz:saved-filters; api-client getSavedFilters/saveFilter/deleteFilter; backend: no filters.py, no SavedFilter model (static search)","Lineage f06b15c; per-file not diffed","UNKNOWN: client fallback behavior, no production assertion; runtime marker window.__TZ_BLOCKED_filters_saved","auth users","none (localStorage fallback)","STUB","","EV-001;EV-002","Backend ticket (filters.py + SavedFilter model + migration) is future work, not a regression; unbounded local list noted for UX review"
